Instance Size,Exhaustive,Dynamic
72,0.10754537582397461,5.8650970458984375e-05
72,0.11955666542053223,3.838539123535156e-05
72,0.09995365142822266,3.814697265625e-05
72,0.10659241676330566,3.600120544433594e-05
72,0.09601902961730957,3.8623809814453125e-05
72,0.11578702926635742,3.814697265625e-05
72,0.14282584190368652,5.793571472167969e-05
72,0.1070859432220459,5.555152893066406e-05
72,0.11634278297424316,3.838539123535156e-05
72,0.10950708389282227,3.981590270996094e-05
72,0.1226508617401123,3.695487976074219e-05
72,0.10998010635375977,4.00543212890625e-05
72,0.08585858345031738,2.384185791015625e-06
72,0.1063385009765625,3.790855407714844e-05
72,0.10583209991455078,3.7670135498046875e-05
72,0.14148783683776855,6.842613220214844e-05
72,0.10199546813964844,3.0040740966796875e-05
72,0.07950329780578613,2.86102294921875e-06
72,0.10091423988342285,3.790855407714844e-05
72,0.12276530265808105,3.0994415283203125e-05
